date,all,Region
2014-05-31,15967,"Miami, FL metro area"
2014-06-30,16419,"Miami, FL metro area"
2014-07-31,17007,"Miami, FL metro area"
2014-08-31,17136,"Miami, FL metro area"
2014-09-30,17320,"Miami, FL metro area"
2014-10-31,17600,"Miami, FL metro area"
2014-11-30,17667,"Miami, FL metro area"
2014-12-31,17512,"Miami, FL metro area"
2015-01-31,17964,"Miami, FL metro area"
2015-02-28,18111,"Miami, FL metro area"
2015-03-31,18012,"Miami, FL metro area"
2015-04-30,17821,"Miami, FL metro area"
2015-05-31,17521,"Miami, FL metro area"
2015-06-30,17323,"Miami, FL metro area"
2015-07-31,17207,"Miami, FL metro area"
2015-08-31,17166,"Miami, FL metro area"
2015-09-30,17095,"Miami, FL metro area"
2015-10-31,17237,"Miami, FL metro area"
2015-11-30,17328,"Miami, FL metro area"
2015-12-31,17167,"Miami, FL metro area"
2016-01-31,18162,"Miami, FL metro area"
2016-02-29,18852,"Miami, FL metro area"
2016-03-31,18776,"Miami, FL metro area"
2016-04-30,18608,"Miami, FL metro area"
2016-05-31,18486,"Miami, FL metro area"
2016-06-30,18535,"Miami, FL metro area"
2016-07-31,18360,"Miami, FL metro area"
2016-08-31,18261,"Miami, FL metro area"
2016-09-30,18235,"Miami, FL metro area"
2016-10-31,18304,"Miami, FL metro area"
2016-11-30,18533,"Miami, FL metro area"
2016-12-31,18043,"Miami, FL metro area"
2017-01-31,18555,"Miami, FL metro area"
2017-02-28,18499,"Miami, FL metro area"
2017-03-31,18428,"Miami, FL metro area"
2017-04-30,18059,"Miami, FL metro area"
2017-05-31,17991,"Miami, FL metro area"
2017-06-30,17617,"Miami, FL metro area"
2017-07-31,17786,"Miami, FL metro area"
2017-08-31,17785,"Miami, FL metro area"
2017-09-30,17316,"Miami, FL metro area"
2017-10-31,17693,"Miami, FL metro area"
2017-11-30,17830,"Miami, FL metro area"
2017-12-31,17475,"Miami, FL metro area"
2018-01-31,17996,"Miami, FL metro area"
2018-02-28,18321,"Miami, FL metro area"
2018-03-31,18215,"Miami, FL metro area"
2018-04-30,17782,"Miami, FL metro area"
2018-05-31,17672,"Miami, FL metro area"
2018-06-30,17544,"Miami, FL metro area"
2018-07-31,17621,"Miami, FL metro area"
2018-08-31,17750,"Miami, FL metro area"
2018-09-30,18311,"Miami, FL metro area"
2018-10-31,18913,"Miami, FL metro area"
2018-11-30,19091,"Miami, FL metro area"
2018-12-31,18707,"Miami, FL metro area"
