date,large,medium,small
2012-01-31,3461.875,1987.5,1412.5000000000002
2012-02-29,3336.875,1912.5,1411.2500000000002
2012-03-31,3461.875,1887.5,1433.7500000000002
2012-04-30,3575.0,1886.25,1458.7500000000002
2012-05-31,3362.5,1848.75,1446.2500000000002
2012-06-30,3462.5,1898.75,1472.5000000000002
2012-07-31,3387.5,1903.75,1450.0000000000002
2012-08-31,3200.0,1867.5,1425.0000000000002
2012-09-30,3212.5,1875.0,1425.0000000000002
2012-10-31,3187.5,1856.25,1400.0000000000002
2012-11-30,3212.5,1855.625,1400.0000000000002
2012-12-31,3300.0,1858.75,1412.5000000000002
2013-01-31,3298.75,1863.75,1425.0000000000002
2013-02-28,3223.75,1882.5,1448.7500000000002
2013-03-31,3198.75,1890.625,1473.7500000000002
2013-04-30,3148.75,1925.0,1498.7500000000002
2013-05-31,3190.625,2000.0,1586.2500000000002
2013-06-30,3190.625,2050.0,1625.0000000000002
2013-07-31,3228.125,2073.75,1650.0000000000002
2013-08-31,3278.125,2098.75,1662.5
2013-09-30,3262.5,2036.25,1612.5
2013-10-31,3262.5,2030.0,1600.0
2013-11-30,3200.0,2018.75,1575.0
2013-12-31,3075.0,1993.75,1562.5
2014-01-31,2975.0,2006.25,1537.5
2014-02-28,2975.0,2012.5,1518.75
2014-03-31,3075.0,2073.75,1543.75
2014-04-30,3150.0,2098.75,1543.75
2014-05-31,3300.0,2123.75,1568.75
2014-06-30,3375.0,2123.75,1587.5
2014-07-31,3225.0,2087.5,1580.0
2014-08-31,3225.0,2062.5,1591.25
2014-09-30,3159.375,2037.5,1566.25
2014-10-31,3109.375,2011.25,1541.25
2014-11-30,3184.375,1998.75,1523.75
2014-12-31,3209.375,1998.75,1523.75
2015-01-31,3162.5,2008.5,1548.75
2015-02-28,3262.5,2041.0,1573.75
2015-03-31,3375.0,2116.0,1636.25
2015-04-30,3487.5,2178.5,1651.0
2015-05-31,3587.5,2231.25,1663.5
2015-06-30,3612.5,2262.5,1688.5
2015-07-31,3500.0,2243.75,1676.0
2015-08-31,3437.5,2243.75,1675.625
2015-09-30,3462.5,2256.25,1675.625
2015-10-31,3437.5,2256.25,1675.625
2015-11-30,3512.5,2250.0,1663.125
2015-12-31,3525.0,2253.5,1675.0
2016-01-31,3575.0,2266.0,1712.5
2016-02-29,3637.5,2291.0,1736.25
2016-03-31,3700.0,2328.5,1771.25
2016-04-30,3750.0,2350.0,1792.5
2016-05-31,3750.0,2350.0,1787.5
2016-06-30,3750.0,2350.0,1782.5
2016-07-31,3750.0,2350.0,1777.5
2016-08-31,3750.0,2350.0,1772.5
2016-09-30,3750.0,2350.0,1767.5
2016-10-31,3750.0,2350.0,1762.5
2016-11-30,3750.0,2350.0,1757.5
2016-12-31,3662.5,2331.25,1716.25
2017-01-31,3632.25,2306.25,1676.25
2017-02-28,3594.75,2293.75,1637.5
2017-03-31,3544.75,2281.25,1600.0
2017-04-30,3626.0,2287.5,1606.25
2017-05-31,3631.25,2300.0,1618.75
2017-06-30,3606.25,2300.0,1643.75
2017-07-31,3593.75,2298.75,1668.75
2017-08-31,3550.0,2298.75,1675.0
2017-09-30,3500.0,2292.5,1675.0
2017-10-31,3437.5,2287.5,1650.0
2017-11-30,3431.25,2288.75,1637.5
2017-12-31,3418.75,2288.75,1637.5
2018-01-31,3408.75,2295.0,1643.75
2018-02-28,3448.75,2312.5,1656.25
2018-03-31,3427.5,2312.5,1656.25
2018-04-30,3402.5,2330.0,1668.75
2018-05-31,3461.25,2341.25,1675.0
2018-06-30,3520.5,2334.875,1681.5
2018-07-31,3548.0,2337.375,1687.75
2018-08-31,3685.5,2319.875,1675.25
2018-09-30,3724.25,2308.625,1662.75
2018-10-31,3746.125,2302.5,1656.25
2018-11-30,,,
2018-12-31,,,
